"","alpha_0","beta","gamma","w","a","N_Lin.N","Mean_Lin.Z_mean","Var_Lin.Z_var","N_SD025.N","Mean_SD025.Z_mean","Var_SD025.Z_var","N_SD050.N","Mean_SD050.Z_mean","Var_SD050.Z_var","N_SD075.N","Mean_SD075.Z_mean","Var_SD075.Z_var","N_SD100.N","Mean_SD100.Z_mean","Var_SD100.Z_var","N_SD125.N","Mean_SD125.Z_mean","Var_SD125.Z_var"
"1",1.915259,68.75247,0.184562,0.367691,6.1e-05,22719.3742289786,0.598381547186141,0.000328390000577313,22714.0994975014,0.597620134882361,0.000328906867031856,22707.5272515207,0.596893884315876,0.000329758281805498,22701.436451911,0.596273439588973,0.000331140801975896,22699.0183457116,0.595843179042586,0.000333541332743505,22704.3523599738,0.595588603993837,0.000338710032369706
"2",1.444384,49.76787,0.275822,0.339753,9.3e-05,9799.13934348443,0.588822617377712,0.000296016770204482,9728.45828081036,0.58485838981257,0.000300950813268255,9632.0233522941,0.58069125996619,0.000308972428965111,9508.42350432904,0.576361086891024,0.000321903442536652,9358.82859791942,0.571949306598892,0.000343146161762416,9185.8124592368,0.5675310884124,0.000379621932116935
"3",0.75234,49.42674,0.196671,0.303403,3.5e-05,12419.5189010517,0.583515258890729,0.000467160006238348,12220.3478901014,0.578453562684661,0.000476845046806886,11946.0906418434,0.572974364717999,0.000492729749429045,11582.8055507147,0.567101658186503,0.00051821424928794,11115.883733883,0.560924213964356,0.000559536532015132,10501.7438479354,0.554492146095371,0.000629737278524052
"4",1.993401,46.02182,0.271007,0.054579,2.4e-05,71436.8215493306,0.599819374327306,0.000634285677709089,71436.6869169737,0.59972887983989,0.000634298706445881,71436.5080268797,0.599639331323813,0.000634318487923549,71436.3100681483,0.599554590832018,0.000634346617395221,71436.1479652226,0.599481442905312,0.000634385604717599,71436.1135497797,0.599428079834935,0.000634441180800847
"5",0.988344,36.97988,0.214865,0.290643,7.7e-05,7881.14174892466,0.575684468010165,0.000382194774932165,7744.88347728548,0.569868752408135,0.000389412816021047,7568.28412895034,0.563628880533606,0.000400860911291305,7346.81518037664,0.55699995274136,0.000417920382971023,7076.4065578044,0.550020733336062,0.000443172860670988,6746.39596373966,0.542603932449702,0.000481801287549436
"6",0.50261,106.31488,0.303857,0.155982,9.4e-05,1.41814041577223e-61,0.056942101047092,0.000169403315402228,2.68574248629054e-62,0.0308667422780303,6.25382312611324e-05,6.04729259165069e-63,0.0218995622493822,3.95651811149783e-05,8.05787955744111e-63,0.0172395255798437,3.19205601889308e-05,4.43394309184065e-62,0.0130250524238977,2.74663531399697e-05,2.47683459056549e-61,0.00903488036029888,2.50142091151594e-05
"7",2.16603,115.85617,0.124771,0.306935,2.9e-05,60567.0238270973,0.599982361547729,0.00038089179816476,60567.0229476291,0.599974066459659,0.000380892112036111,60567.0234541885,0.599967820712447,0.000380892586308583,60567.0286688117,0.599965573544064,0.000380893354869825,60567.049970995,0.599965400376668,0.000380895806942749,60567.2841148704,0.599950747309298,0.000380924017317494
"8",0.844646,69.07725,0.163274,0.108541,1e-06,773524.682320645,0.599999975445245,0.00265986033234049,773524.682305763,0.599999962830667,0.00265986033222845,773524.682288267,0.599999950840307,0.00265986033209698,773524.682275578,0.599999941607622,0.00265986033200213,773524.682273165,0.599999938037015,0.00265986033198458,773524.682244939,0.599999940576388,0.00265986033176844
"9",1.050201,56.52418,0.301628,0.024908,5.8e-05,12892.8699841948,0.591518784285801,0.000337358836385072,12817.7519861229,0.588206527927623,0.00034171969636005,12712.715984275,0.58470581016545,0.000349084962473163,12576.6129008257,0.581064392044047,0.000361532469413007,12413.9683938264,0.57739976476981,0.0003831300163581,12237.6511586018,0.573893802263073,0.000422436463441187
"10",0.862844,34.78289,0.39029,0.326187,3.5e-05,8820.61332255688,0.573042502925424,0.00044686383343096,8526.54984391933,0.567153478060654,0.00045041700786043,8108.11291589756,0.560253441623197,0.000456177712758085,7526.09272784015,0.552368443483999,0.00046484420899252,6719.23978254139,0.543636016056711,0.000477424156022952,5392.56857186484,0.533637130310828,0.000494997760697783
"11",1.361924,148.08049,0.370284,0.076754,6.6e-05,14660.6770859116,0.598766639510572,0.000195388414125487,14655.1785216577,0.598157719500943,0.000195842726219047,14650.8882397364,0.597660438980414,0.000196881876052186,14655.9449021984,0.59736818269416,0.000199973160197373,14443.2256474197,0.595852887907488,0.000211662795721942,3.80426070702011e-69,0.0515345731849189,0.000763190049033597
"12",0.884571,78.05021,0.364488,0.108969,5.4e-05,8707.04751905919,0.588107448748383,0.000268348918840198,8520.1808125671,0.583500192604783,0.000274067791125501,8221.85646162646,0.578077559005078,0.000285159564832108,7759.00714144403,0.571818786553821,0.000306719248183488,6620.51402435537,0.565264266445677,0.000348458975828084,6.61092655451127e-36,0.415491766800661,0.00172252781682971
