"","X","alpha_0","beta","gamma","w","a","N_Lin.N","Mean_Lin.Z_mean","Var_Lin.Z_var","N_SD025.N","Mean_SD025.Z_mean","Var_SD025.Z_var","N_SD100.N","Mean_SD100.Z_mean","Var_SD100.Z_var","alpha_0","beta","gamma","w","a","N_SD050.N","Mean_SD050.Z_mean","Var_SD050.Z_var","N_SD075.N","Mean_SD075.Z_mean","Var_SD075.Z_var","N_SD125.N","Mean_SD125.Z_mean","Var_SD125.Z_var"
"3118",3118,0.97857,125.86481,0.132726,0.369287,6e-05,9230.617,0.567728,0.000129,7446.192,0.552748,0.000126,0,0.088765,0.000212,0.97857,125.86481,0.132726,0.369287,6e-05,5050.87593802207,0.535556372793675,0.000138477320443739,1.56349189008674e-18,0.207253189566404,0.00184395588986984,3.76479609059964e-22,0.0580558105466878,0.000168477936972872
"3119",3119,2.451683,44.18193,0.146448,0.305242,2.4e-05,80398.94,0.591328,0.000214,80139.99,0.588106,0.000217,78927.81,0.578569,0.000237,2.451683,44.18193,0.146448,0.305242,2.4e-05,78840.2275637857,0.584670677790236,0.000219880819591689,78422.6926373802,0.581417784832993,0.000226185886648607,77495.200905509,0.575516316469739,0.00025125066809999
"3120",3120,1.835346,77.37699,0.169092,0.319869,2.5e-05,54787.18,0.59015,0.000158,54365.51,0.586479,0.000163,52342.6,0.57518,0.000217,1.835346,77.37699,0.169092,0.319869,2.5e-05,53068.7710249879,0.58252165771007,0.000170046571466041,52391.1001470491,0.578756902435446,0.000185361857148295,49898.4629904938,0.568389807568335,0.000299682141131253
"3121",3121,1.691318,67.09324,0.239996,0.108495,8.9e-05,13891.58,0.567358,0.000103,13206.02,0.559183,0.000106,9312.789,0.525597,0.00016,1.691318,67.09324,0.239996,0.108495,8.9e-05,12399.1528341578,0.550587256460056,0.00011349962249248,11226.3348727017,0.540249589024419,0.00012836177949671,5420.92175093668,0.497785018895728,0.000226043592757178
"3122",3122,1.282331,75.40838,0.25598,0.164683,4.3e-05,19575.56,0.570403,0.000132,18453.1,0.562201,0.000137,10898.9,0.525049,0.000221,1.282331,75.40838,0.25598,0.164683,4.3e-05,16844.9575258216,0.553057061681149,0.00014862430669668,14663.6230656265,0.541775915643401,0.000171413623806399,13.0461427342609,0.458809280628056,0.000286895143118197
"3123",3123,2.272862,145.19539,0.339026,0.08061,1.2e-05,163224.7,0.599679,0.000161,163221.9,0.599529,0.000161,163269.4,0.599107,0.000163,2.272862,145.19539,0.339026,0.08061,1.2e-05,156332.941547199,0.599350490710741,0.000157828645931246,156337.054298275,0.599282520190463,0.00015806906805329,0.00444540992188164,0.451378517139611,0.000481713089396366
"3124",3124,1.238559,105.83727,0.287556,0.312586,7.1e-05,8551.952,0.564341,0.000109,7134.443,0.552162,0.000107,1677.224,0.519298,0.000144,1.238559,105.83727,0.287556,0.312586,7.1e-05,5449.33708465338,0.539869291077098,0.000119194045534728,2406.08470821377,0.522040859977555,0.000133663371170785,1.32814225000221e-47,0.131000569162773,0.000505540432900803
"3125",3125,2.382001,52.45285,0.284202,0.117115,6.9e-05,27777.36,0.580987,0.000117,27367.71,0.575491,0.00012,25346.06,0.55732,0.00015,2.382001,52.45285,0.284202,0.117115,6.9e-05,26670.9445793104,0.569576010074942,0.000125893158887605,25998.8204144959,0.563495189706113,0.00013501223181641,24121.3692274817,0.549962888272553,0.000175293953674824
"3126",3126,1.933602,90.74353,0.332476,0.008244,4.9e-05,32300.45,0.588641,0.000101,31882.39,0.584389,0.000105,29051.77,0.567709,0.00017,1.933602,90.74353,0.332476,0.008244,4.9e-05,31354.5283620572,0.579891253831272,0.000113500861992192,30549.8245299849,0.574864684174969,0.000130001702065077,20034.2506692348,0.541542447389502,0.000318469644775545
"3127",3127,1.180673,92.95088,0.248716,0.201791,8.3e-05,7929.883,0.560548,0.000115,6865.173,0.549334,0.000111,3995.115,0.524376,0.000139,1.180673,92.95088,0.248716,0.201791,8.3e-05,5557.03161612922,0.537508469186574,0.000117436376555748,3959.88114069745,0.523660956342611,0.000122087525817836,1.96086503304313e-34,0.186623649809548,0.000606487404683863
"3128",3128,0.762438,114.26228,0.156356,0.06162,6.9e-05,6929.674,0.564758,0.000147,5198.115,0.546662,0.000134,0,0.077647,0.000163,0.762438,114.26228,0.156356,0.06162,6.9e-05,2.39509102832651e-23,0.147262573036787,0.000321345602956997,2.4117424863986e-24,0.114142841495575,0.000197092412153173,1.36565891759716e-26,0.0575347604270541,0.000152978774469051
"3129",3129,1.634942,66.36957,0.13073,0.310946,8.7e-05,12763.95,0.562818,0.000114,12066.36,0.554165,0.000117,8284.866,0.518584,0.000179,1.634942,66.36957,0.13073,0.310946,8.7e-05,11229.6186394237,0.545133574029919,0.000123979841993721,10085.0324722243,0.534165568085394,0.000141057476394592,4049.78661098591,0.482386446069488,0.000250015100122358
"3130",3130,2.205465,42.06102,0.257574,0.118222,5.5e-05,32323.22,0.578396,0.000146,31883,0.572753,0.00015,29818.38,0.554437,0.000176,2.205465,42.06102,0.257574,0.118222,5.5e-05,31127.600593432,0.566707378686889,0.000154754719799376,30437.6761740897,0.560559697396005,0.000163081040646219,28670.7817685079,0.547726169198941,0.000195095101110862
"3131",3131,1.447776,96.01692,0.230935,0.301099,4.1e-05,22672.57,0.578478,0.000117,21591.41,0.571009,0.000125,9893.93,0.52671,0.00025,1.447776,96.01692,0.230935,0.301099,4.1e-05,20114.1826215065,0.562538053346901,0.000142154217607402,17363.2411600111,0.550747180164904,0.000176153681632658,0.0375459935805426,0.59929039714562,0.000174211575903069
"3132",3132,2.446661,87.09775,0.339424,0.283094,2e-05,87880.48,0.596788,0.000157,87775.99,0.595342,0.000158,87438.92,0.591768,0.000172,2.446661,87.09775,0.339424,0.283094,2e-05,87321.122729025,0.593927381408083,0.000159777599726568,87194.3195060367,0.592729146562652,0.000163345270324868,87070.4193166817,0.590019786910134,0.00020163990650914
"3133",3133,2.126845,121.12778,0.210263,0.269815,4.6e-05,34936.27,0.591916,9.3e-05,34633.81,0.588696,9.7e-05,30295.75,0.568114,0.000253,2.126845,121.12778,0.210263,0.269815,4.6e-05,34168.8843596848,0.585469616896077,0.000105983083245363,33624.7906858274,0.581710824115325,0.000130151409548321,5.87993869069522e-18,0.281707070027233,0.000757478189515117
"3134",3134,2.457128,73.596,0.358957,0.066265,6.2e-05,32026.76,0.588482,1e-04,31706.12,0.584331,0.000103,29985.23,0.5705,0.000139,2.457128,73.596,0.358957,0.066265,6.2e-05,31437.7346172625,0.580084993694412,0.000108944266528011,30882.6065764489,0.575576853340729,0.00011901763635515,28815.8633655526,0.563208380504344,0.000185966067145438
"3135",3135,2.172321,53.3019,0.137514,0.310915,1.5e-05,110729.8,0.594498,0.000242,110534.7,0.592232,0.000244,109698.2,0.585986,0.000261,2.172321,53.3019,0.137514,0.310915,1.5e-05,111922.810571128,0.590160493946532,0.000248950989533143,111635.3126231,0.588069187454194,0.000253979403886519,111137.391552214,0.584739095758326,0.00027627230920368
"3136",3136,1.793569,94.50203,0.271739,0.217706,1.5e-05,91101.01,0.595983,0.000177,90919.08,0.594218,0.000178,90384.37,0.589807,0.000206,1.793569,94.50203,0.271739,0.217706,1.5e-05,87914.3162877437,0.592224030818832,0.000179409115210321,87698.208431079,0.590719693361628,0.000186712146649301,87234.1661095104,0.585431591370012,0.000293622384096815
"3137",3137,2.261736,132.21854,0.208066,0.088332,3.8e-05,51289.99,0.596398,9.6e-05,51192.81,0.594879,9.8e-05,50850.12,0.588694,0.000167,2.261736,132.21854,0.208066,0.088332,3.8e-05,51396.2323269281,0.593669923253964,0.000100743371143621,51343.8994805448,0.592651198381486,0.000109025986022942,3.59781570301177e-18,0.270759779108881,0.000663834197338436
"3138",3138,0.900916,37.47853,0.203996,0.312204,2.6e-05,17050.55,0.536758,0.000265,16243.4,0.53068,0.00026,11931.16,0.503032,0.000319,0.900916,37.47853,0.203996,0.312204,2.6e-05,14939.9180839698,0.522943829148162,0.000264147239455911,13566.3596272447,0.513880993268461,0.000281525282369714,8015.385677685,0.483360904814819,0.000409318784607179
"3139",3139,1.3613,103.66624,0.379326,0.339281,2e-05,36723.11,0.584877,0.000137,35388.32,0.579066,0.000145,558.6928,0.542993,0.000317,1.3613,103.66624,0.379326,0.339281,2e-05,32201.934143418,0.571351606318183,0.000160980349349666,27964.1324473431,0.561457058134757,0.000198578108621726,3.43627079626776e-39,0.238577283810209,0.000131714811109715
"3140",3140,0.982213,60.54361,0.357334,0.074314,1.7e-05,31660.66,0.569595,0.000196,29935.79,0.56238,0.000201,17689.7,0.529813,0.000264,0.982213,60.54361,0.357334,0.074314,1.7e-05,27376.8685004618,0.553891866790861,0.000210536154137682,23951.5677157709,0.543885595921824,0.000228585523843064,331.94034703826,0.498742903730792,0.000322725375529979
"3141",3141,1.769221,131.02414,0.391093,0.159533,2.8e-05,44684.41,0.593484,0.000106,44328.12,0.590656,0.000109,1188.946,0.568219,0.000329,1.769221,131.02414,0.391093,0.159533,2.8e-05,43003.9567366936,0.587431568205005,0.0001174120039162,42244.6434303952,0.583669641228841,0.000144194422423959,0.535032111730262,0.523896503091703,0.000423993661440587
"3142",3142,0.953209,102.93272,0.276442,0.052241,5e-05,10782.73,0.565189,0.000124,9075.771,0.553503,0.000124,0,0.157668,0.00067,0.953209,102.93272,0.276442,0.052241,5e-05,6835.45031113088,0.540793832004823,0.000133650430710197,4086.19578099274,0.5273713544944,0.000137072609578759,3.25135701203963e-47,0.0974100620381285,0.000348022760176825
"3143",3143,2.314566,53.02487,0.115368,0.308733,4.5e-05,39848.69,0.584567,0.000147,39451.32,0.579734,0.000151,37545.33,0.564483,0.000185,2.314566,53.02487,0.115368,0.308733,4.5e-05,39026.2237425065,0.574774884715142,0.000157679292225818,38387.1975812663,0.569665880528415,0.000168260859307275,36779.896454677,0.559360419508039,0.000214753303857699
"3144",3144,1.151423,112.69876,0.304173,0.311251,3.4e-05,16774.07,0.572944,0.00012,14657.25,0.562538,0.000127,0,0.594973,0.000197,1.151423,112.69876,0.304173,0.311251,3.4e-05,11720.4516262334,0.550702674496463,0.000145874841338464,2138.49631344245,0.530900524011761,0.000195146647479972,3.21155019659959e-52,0.157961172817471,0.00129268399316989
"3145",3145,1.854054,118.01098,0.133833,0.301846,8.8e-05,15468.52,0.580424,7.9e-05,14704.7,0.572556,8.8e-05,679.8317,0.483975,0.000221,1.854054,118.01098,0.133833,0.301846,8.8e-05,13420.7913024464,0.563037417976522,0.000105561803633609,10726.5358440612,0.546615183162725,0.000147439757440122,14.1635838397434,0.441507433153146,0.000219058639314505
"3146",3146,0.661058,54.25826,0.341809,0.237118,4.5e-05,0,0.133215,0.000328,0,0.128582,0.000294,0,0.085617,0.000187,0.661058,54.25826,0.341809,0.237118,4.5e-05,6.81118140692368e-54,0.126112059171464,0.000250305934640453,6.71889734803196e-55,0.111406339268228,0.000215324334484602,6.81824460039889e-56,0.083787921200335,0.000173990942903517
"3147",3147,1.779311,57.71833,0.201327,0.294496,1e-05,135181.6,0.595084,0.000282,134952.3,0.593001,0.000284,133982.1,0.587253,0.000303,1.779311,57.71833,0.201327,0.294496,1e-05,130565.525747885,0.59058522276401,0.000284006711846461,130204.777104733,0.588548701318667,0.000289943219216212,129613.990332349,0.585280121526491,0.000318617668304398
"3148",3148,1.095266,34.77013,0.190068,0.327771,1.8e-05,36113.03,0.558702,0.000282,35110.82,0.55215,0.000285,30409.08,0.52804,0.000327,1.095266,34.77013,0.190068,0.327771,1.8e-05,34623.1313025378,0.545525581569985,0.00029464429688436,33087.6601037224,0.537665173962986,0.000307658789738659,28445.927975521,0.51755912579512,0.000364392300085362
"3149",3149,1.2717,77.39248,0.293819,0.165376,7e-05,10349.66,0.559971,0.000118,9347.51,0.550435,0.000117,877.3839,0.500808,0.000249,1.2717,77.39248,0.293819,0.165376,7e-05,8130.91949065196,0.54038533915682,0.000124862773945131,6487.01820193292,0.528200869095235,0.00014794989934651,2.56602614349977e-25,0.304923020741093,0.00114459275456278
"3150",3150,2.331792,84.59215,0.276614,0.143662,4.3e-05,43692.25,0.592114,0.000113,43439.73,0.589015,0.000115,42248.42,0.579628,0.000152,2.331792,84.59215,0.276614,0.143662,4.3e-05,42921.4134814692,0.585847181990989,0.000120338134771512,42532.3024885834,0.582808831223263,0.000130228451548656,40719.9295563582,0.572496438743308,0.000225594422181029
"3151",3151,0.502258,82.29813,0.121518,0.309144,8.1e-05,0,0.084329,0.000248,0,0.090314,0.000216,0,0.055646,0.000144,0.502258,82.29813,0.121518,0.309144,8.1e-05,7.33565204739503e-19,0.088472866402186,0.000161905396038023,3.91256037561828e-19,0.0782850630645579,0.000148761869465107,1.16719978750707e-19,0.0505355186003902,0.000140583729158761
"3152",3152,2.294142,107.5872,0.196527,0.326119,3.2e-05,53725.57,0.594682,0.000117,53542.85,0.592479,0.000119,52876.43,0.586098,0.000169,2.294142,107.5872,0.196527,0.326119,3.2e-05,52949.4321635123,0.590364724832426,0.000123645978871867,52754.5424470386,0.588596716952828,0.000134151703713322,15823.5608298908,0.546035872775564,0.000632847115082616
"3153",3153,2.346722,115.65632,0.288858,0.318123,3.1e-05,53850.49,0.595322,0.000111,53684.56,0.593326,0.000113,52999.09,0.586712,0.000169,2.346722,115.65632,0.288858,0.318123,3.1e-05,53499.591354167,0.591484234230676,0.000117219225473146,53325.3152279025,0.589842309531703,0.000127260119702287,1.65996864438405,0.487334883232109,0.000509852070053881
"3154",3154,1.00371,66.77236,0.343487,0.134344,3.9e-05,11675.04,0.553139,0.000156,10440.55,0.544987,0.000153,1e-06,0.502042,0.000302,1.00371,66.77236,0.343487,0.134344,3.9e-05,8823.3080289468,0.535839999086088,0.000158687822388328,6624.15048853465,0.52506436842313,0.000181114571449823,5.21154495015905e-28,0.599148580643399,0.000360343287262072
"3155",3155,2.311227,77.00864,0.350543,0.056568,2e-05,97831.32,0.597074,0.000169,97745.99,0.595747,0.00017,97439.53,0.592391,0.000179,2.311227,77.00864,0.350543,0.056568,2e-05,95325.9266087099,0.594265088901433,0.000169662870949665,95207.0714563995,0.593081679912779,0.000172296326609903,95073.2135255247,0.59105894936769,0.000191912496355273
"3156",3156,1.029146,42.04644,0.252844,0.099656,6.4e-05,8644.883,0.534356,0.000184,8228.389,0.528851,0.000177,6392.489,0.508,0.000263,1.029146,42.04644,0.252844,0.099656,6.4e-05,7770.65466303979,0.52320223953685,0.000180423841408912,7215.06726504164,0.516677776106779,0.000198880794949055,2.36270424690253,0.513262851610746,0.000861787330643202
"3157",3157,1.695428,130.47996,0.131517,0.29084,5e-06,278493.7,0.599689,0.000274,278490.5,0.599545,0.000274,278538.9,0.599355,0.000275,1.695428,130.47996,0.131517,0.29084,5e-06,268464.597942073,0.599389383656882,0.00026899793748345,268472.438300204,0.599353117746125,0.000269229123869675,270424.332826728,0.598113400482655,0.000317092194303706
"3158",3158,1.527615,148.36169,0.283866,0.25757,5.4e-05,18209.22,0.583538,8.2e-05,17036.36,0.575717,9.3e-05,0,0.106306,0.000418,1.527615,148.36169,0.283866,0.25757,5.4e-05,14616.6503076762,0.564410103460689,0.000122323017752376,1704.27845507166,0.534185732471786,0.000195795874372579,1.08667477688575e-51,0.049612985654972,0.000140067670347143
"3159",3159,0.878282,57.26085,0.115037,0.315116,1.2e-05,50828.54,0.573794,0.00028,49330.79,0.567117,0.000291,41373.36,0.54292,0.000386,0.878282,57.26085,0.115037,0.315116,1.2e-05,45755.1984115423,0.559170304726796,0.000304512581628413,43252.4686703711,0.5512641678368,0.000332761524426541,33436.3254402562,0.527882647717506,0.000480686530877648
"3160",3160,2.130763,48.164,0.237479,0.222285,5.4e-05,29229.05,0.577474,0.000138,28726.83,0.571549,0.000142,26287,0.551688,0.000175,2.130763,48.164,0.237479,0.222285,5.4e-05,28351.5210648197,0.565486928855765,0.000149503222549933,27545.3080204769,0.558911529894302,0.000159654108134898,25264.8168149859,0.543940766867782,0.000202857382123086
"3161",3161,2.482882,35.50825,0.380733,0.375159,4.2e-05,37561.41,0.577464,0.000173,37074.72,0.571832,0.000176,34727.4,0.553,2e-04,2.482882,35.50825,0.380733,0.375159,4.2e-05,36424.4610556161,0.565840953414788,0.000181232815787453,35644.1738794179,0.559547563798284,0.000188833407524417,33591.2814282856,0.546119786790022,0.000216584918907098
"3162",3162,1.923821,69.48975,0.179494,0.138677,2.2e-05,73014.07,0.593202,0.000175,72760.13,0.590494,0.000178,71715.19,0.583099,0.000205,1.923821,69.48975,0.179494,0.138677,2.2e-05,72420.7059116915,0.587817247118659,0.000182349888106101,72053.9004819846,0.585312290947816,0.000190376173918548,71359.8146601825,0.580825566595131,0.000238072849803216
"3163",3163,0.510435,127.98956,0.117407,0.366015,3.8e-05,6740.662,0.573762,0.000232,0,0.172747,0.001387,0,0.052031,0.000141,0.510435,127.98956,0.117407,0.366015,3.8e-05,2.34778125177243e-18,0.108060716117263,0.000199577966719033,4.66442401757e-19,0.0851858037944104,0.000165808512520407,6.2617361350174e-20,0.0392330805585774,0.000131214365045209
"3164",3164,1.560992,45.32007,0.395425,0.315167,1.2e-05,76522.26,0.585658,0.000264,75693.9,0.581004,0.000268,71118.6,0.564895,0.000306,1.560992,45.32007,0.395425,0.315167,1.2e-05,72848.7233394704,0.575565181637417,0.000273224502008301,71326.4506067648,0.570112537171066,0.000284982267887905,66972.0847512453,0.558178470394578,0.000334487617579667
"3165",3165,0.712919,49.75778,0.397375,0.153087,1.1e-05,425.8028,0.525067,0.000249,255.2231,0.52032,0.000222,0,0.507447,0.000318,0.712919,49.75778,0.397375,0.153087,1.1e-05,6.18700322586554e-05,0.51327941970551,0.000282739596756934,7.23187025461115e-13,0.506925923315463,0.000287553362289667,2.4613870576734e-55,0.243999810714885,0.00120278086701754
"3166",3166,1.762753,54.22456,0.202093,0.218488,6.1e-05,20777.56,0.569857,0.00013,20136.91,0.562787,0.000134,16858.71,0.536729,0.000176,1.762753,54.22456,0.202093,0.218488,6.1e-05,19490.9308643523,0.555436140318112,0.000142082831259343,18466.8931650714,0.547197319475983,0.000154534396659829,14693.0875626059,0.522562737095476,0.000219494809348082
"3167",3167,1.330308,137.41576,0.101473,0.148195,8.4e-05,12453.01,0.577434,8.4e-05,11180.07,0.565847,9.6e-05,0,0.107946,0.000318,1.330308,137.41576,0.101473,0.148195,8.4e-05,9132.51697666485,0.552009391353838,0.000120364342399131,4735.76328765265,0.525457916568944,0.000172809016377071,3.24628083244282e-16,0.0600654889839061,0.000157969576860326
"3168",3168,1.938807,62.25128,0.184246,0.272522,3.2e-05,45151.91,0.586301,0.000155,44673.25,0.581721,0.00016,42268.49,0.566961,0.000205,1.938807,62.25128,0.184246,0.272522,3.2e-05,44449.0488963866,0.577120455211678,0.000168733990777929,43654.3603883253,0.572234129261688,0.000182108369652257,41415.0501404416,0.561502924913875,0.000251158046724156
"3169",3169,1.079839,75.48433,0.197488,0.393586,8.2e-05,6012.384,0.547855,0.000154,5355.302,0.539081,0.000139,9.98452,0.544644,0.000409,1.079839,75.48433,0.197488,0.393586,8.2e-05,4558.17805682019,0.529306539411194,0.000132670069908727,3927.35522927776,0.521664355921206,0.000129705463954855,3.28348694081216e-22,0.177844846629435,0.000431594409868743
"3170",3170,0.713666,121.62395,0.274365,0.202217,4.3e-05,6030.727,0.565742,0.000173,2025.714,0.543851,0.000149,0,0.068525,0.000139,0.713666,121.62395,0.274365,0.202217,4.3e-05,7.94829221915339e-46,0.130269334290197,0.00022029104319859,1.50596414260331e-47,0.104011775125193,0.000171916194915547,9.05436212775414e-50,0.0508474735625968,0.000128518881961271
"3171",3171,2.204294,146.15229,0.114852,0.038234,7.5e-05,27358.59,0.593013,6.9e-05,27166.6,0.590268,7.2e-05,519.3643,0.481372,0.000208,2.204294,146.15229,0.114852,0.038234,7.5e-05,26848.2459961617,0.587692559997228,8.046315861861e-05,26449.735217232,0.583789119591329,0.000110897434024437,7.50362636666298e-19,0.0509895924293565,0.000160184260289313
"3172",3172,0.536341,90.71068,0.135525,0.290472,4.8e-05,1268.505,0.520539,0.000325,0,0.135996,0.000503,0,0.06156,0.00017,0.536341,90.71068,0.135525,0.290472,4.8e-05,9.47181047772683e-21,0.108456356095025,0.000230252953937188,2.48434683510118e-21,0.0904755203105812,0.00019171507396815,2.47701467586372e-22,0.0526970713402298,0.000165469339332254
"3173",3173,1.842168,136.8111,0.137397,0.068748,2.3e-05,73150.58,0.597318,0.000124,73074.48,0.596182,0.000125,73223.15,0.592416,0.000186,1.842168,136.8111,0.137397,0.068748,2.3e-05,71945.06441439,0.595207309720015,0.00012665425108065,71951.1486287637,0.594616622979693,0.00013372726702874,72459.4421670538,0.599199158113957,0.000148557159586033
"3174",3174,1.347948,144.85419,0.331814,0.314919,5.9e-05,11854.72,0.575744,8.7e-05,9668.822,0.562594,9.6e-05,0,0.089567,2e-04,1.347948,144.85419,0.331814,0.314919,5.9e-05,5905.09450089095,0.54678514679207,0.00011816700414128,1.07843717390021e-08,0.50528660190874,0.000160385399003775,5.93676655691006e-61,0.0526406230939042,0.000130474958575111
"3175",3175,0.676286,146.21452,0.323728,0.321861,7.1e-05,0,0.433949,0.000669,0,0.124736,0.000165,0,0.057779,8.1e-05,0.676286,146.21452,0.323728,0.321861,7.1e-05,7.26349868445465e-58,0.105360298286146,9.57767671942374e-05,7.2869803020521e-59,0.0886992629856235,9.1787278536658e-05,2.47048414662878e-60,0.0420095853561345,7.69621246087239e-05
"3176",3176,0.895713,55.79098,0.190145,0.138227,5e-05,9919.132,0.543741,0.000188,9236.319,0.536662,0.000179,6793.276,0.515428,0.000262,0.895713,55.79098,0.190145,0.138227,5e-05,8548.63829882493,0.529708240107936,0.000181178688308652,7769.67703981381,0.522707500182658,0.000195979074250023,0.00453214916629304,0.597811180585617,0.000435986985566676
"3177",3177,1.383083,137.92725,0.307137,0.018561,9e-05,10677.77,0.576514,7.4e-05,9228.514,0.564303,8.3e-05,0,0.100511,0.000208,1.383083,137.92725,0.307137,0.018561,9e-05,7023.77871488677,0.549899019165013,0.000102186429457807,2259.48392055666,0.526590218734935,0.000118555040696299,1.22604000752319e-55,0.0619883237780931,0.000138660068441014
"3178",3178,1.289799,31.16043,0.283545,0.045054,1.4e-05,70885.75,0.577939,0.000315,70070.73,0.572486,0.00032,66259.7,0.554742,0.000353,1.289799,31.16043,0.283545,0.045054,1.4e-05,66896.2249849775,0.56608425730997,0.00032337920619122,65624.3086921533,0.560072939519194,0.000333891957152829,62416.8380764545,0.547714336961364,0.000369795792366632
"3179",3179,2.278598,65.57552,0.263302,0.303882,8e-05,19684.06,0.576675,1e-04,19139.36,0.570056,0.000105,15991.52,0.544563,0.00015,2.278598,65.57552,0.263302,0.303882,8e-05,18459.6331539317,0.562938935322705,0.000112813695517816,17497.1418229486,0.554949239484601,0.000125939740566768,13153.9842901227,0.527417554262031,0.000200516946408242
"3180",3180,2.203461,41.10971,0.21345,0.082985,1.8e-05,103504.7,0.593126,0.000247,103290.2,0.590428,0.000249,102276.2,0.582498,0.000264,2.203461,41.10971,0.21345,0.082985,1.8e-05,105084.779751693,0.587975105669617,0.000254713592137743,104746.389481448,0.585351660899443,0.000259273576295004,104002.27694738,0.580641034559494,0.000276608342752641
"3181",3181,1.350542,38.5522,0.146049,0.145145,4.4e-05,22837.1,0.558142,0.000188,22188.78,0.551279,0.00019,19241.72,0.526581,0.000224,1.350542,38.5522,0.146049,0.145145,4.4e-05,21670.6130530203,0.544240753843986,0.000196283314979542,20721.0511941016,0.536265104260901,0.000206841689323137,17761.2176701102,0.51495623695076,0.000257965361000374
"3182",3182,2.271243,134.46448,0.222371,0.278432,5.6e-05,30615.29,0.592234,8e-05,30342.21,0.589109,8.4e-05,9810.96,0.539619,0.000354,2.271243,134.46448,0.222371,0.278432,5.6e-05,29787.0922912283,0.58589864583908,9.36183856925735e-05,29168.2843717386,0.581442552502751,0.000123957017924658,1.50085047642056e-38,0.0789464889980795,0.000493185662743584
"3183",3183,0.854618,130.28195,0.199226,0.274117,5.8e-05,7395.23,0.566928,0.000136,5398.244,0.550867,0.000127,0,0.075023,0.000149,0.854618,130.28195,0.199226,0.274117,5.8e-05,7.873121236402e-31,0.159494123674017,0.000409837646144877,1.66950474780361e-32,0.115479943603925,0.000195975539785454,2.48472950030674e-35,0.0515316919631456,0.000133783769958956
"3184",3184,0.818531,84.29699,0.398765,0.398076,8.5e-05,0,0.197691,0.001411,0,0.135226,0.000233,0,0.082329,0.000136,0.818531,84.29699,0.398765,0.398076,8.5e-05,7.92455002007564e-68,0.116962334617383,0.000145400467719869,6.51424598345336e-69,0.10473668992827,0.000135623909695365,5.21443524698707e-71,0.0717086161742591,0.000133779171270475
"3185",3185,1.941292,51.91598,0.211002,0.001691,5.7e-05,29755.18,0.57969,0.000131,29286.76,0.574013,0.000135,27042.6,0.555503,0.000169,1.941292,51.91598,0.211002,0.001691,5.7e-05,28723.8461198958,0.568097973389289,0.000141892644127971,27977.7762744144,0.561927742903057,0.000152233252280553,25915.0354929461,0.548236484004337,0.000197552580727584
"3186",3186,0.725104,55.26727,0.311888,0.148182,2.5e-05,8282.885,0.537951,0.000215,7448.918,0.533116,0.000203,0,0.227177,0.001483,0.725104,55.26727,0.311888,0.148182,2.5e-05,6602.06058593645,0.528403037987884,0.000207011988675096,3573.03845143805,0.514502298181846,0.00016138136209843,1.274914446884e-44,0.158209375539989,0.000462894551826633
"3187",3187,1.976815,71.15422,0.196993,0.296619,3.4e-05,42300.6,0.58726,0.00014,41833.01,0.582826,0.000145,39387.15,0.568206,0.000197,1.976815,71.15422,0.196993,0.296619,3.4e-05,41680.9208605022,0.578407081529906,0.000154315043476852,40891.3941138242,0.573648614054516,0.000169174152646813,38114.9779918028,0.561218523283793,0.000262462481107559
"3188",3188,0.7468,80.67744,0.204725,0.129295,1.4e-05,31383.36,0.570712,0.000211,29062.88,0.562427,0.000219,8037.015,0.523334,0.000371,0.7468,80.67744,0.204725,0.129295,1.4e-05,26291.1259005347,0.553493721220477,0.000239372980843713,21031.9260890907,0.54153376252546,0.000279391092042471,1.31378434645858e-08,0.598250475524385,0.000354063941393557
"3189",3189,1.482769,128.87892,0.186226,0.016698,4.3e-05,29322.1,0.588728,9.5e-05,28781.59,0.584242,0.000102,1755.71,0.51532,0.000338,1.482769,128.87892,0.186226,0.016698,4.3e-05,28319.0693598715,0.579507161928609,0.000119360370103788,26637.5243582264,0.571775566128183,0.000167545983089218,4.06980831071297e-31,0.118105455027975,0.00114871498379077
"3190",3190,1.522826,118.46998,0.374345,0.144112,9.3e-05,9693.549,0.572177,7.8e-05,8352.154,0.560321,8.3e-05,494.265,0.520614,0.000137,1.522826,118.46998,0.374345,0.144112,9.3e-05,6521.1283479488,0.547261098045882,9.61468394724259e-05,1226.28211038227,0.524901667012514,0.000138146726635741,2.58215991607667e-65,0.116852285512981,0.000435610756937806
"3191",3191,0.793367,148.948,0.135339,0.087598,9.5e-05,5528.057,0.570343,0.000115,2693.644,0.537707,0.000114,0,0.065705,0.000103,0.793367,148.948,0.135339,0.087598,9.5e-05,3.46619955482993e-21,0.119878833658484,0.000121785510041497,6.16250832200319e-22,0.0989469353947825,0.000109479420415692,1.16481848773257e-23,0.0451792278062606,9.92766944065082e-05
"3192",3192,0.525539,88.05134,0.236121,0.350114,6.4e-05,0,0.079991,0.000207,0,0.087412,0.000179,0,0.054318,0.000124,0.525539,88.05134,0.236121,0.350114,6.4e-05,1.07805895763996e-40,0.0872658770961128,0.000139315624998242,4.05709805587684e-41,0.0772306397812089,0.000130527988250721,6.22349822260848e-42,0.0484253076310378,0.000120024846398962
