"","X","alpha_0","beta","gamma","w","a","N_Lin.N","Mean_Lin.Z_mean","Var_Lin.Z_var","N_SD025.N","Mean_SD025.Z_mean","Var_SD025.Z_var","N_SD100.N","Mean_SD100.Z_mean","Var_SD100.Z_var","alpha_0","beta","gamma","w","a","N_SD050.N","Mean_SD050.Z_mean","Var_SD050.Z_var","N_SD075.N","Mean_SD075.Z_mean","Var_SD075.Z_var","N_SD125.N","Mean_SD125.Z_mean","Var_SD125.Z_var"
"17",17,1.445631,125.75195,0.203961,0.282424,4.3e-05,22679.91,0.583114,1e-04,21653.88,0.576174,0.000111,23552.76,0.598365,0.000116,1.445631,125.75195,0.203961,0.282424,4.3e-05,20170.7028536149,0.567806800985337,0.000135373494753227,15488.3143062513,0.551299551379845,0.000197603858076452,1.29174489314056e-34,0.0980983425565048,0.000680753697952749
"18",18,2.429814,67.60141,0.116249,0.348825,3.6e-05,51933.31,0.590921,0.000143,51656.1,0.587533,0.000146,50436.02,0.577821,0.000179,2.429814,67.60141,0.116249,0.348825,3.6e-05,51080.9226771668,0.58407914088748,0.000151694626207465,50661.1680145132,0.580799703089156,0.000161173081600945,49678.2722452992,0.574323241671637,0.000215947022495904
"19",19,1.229183,81.0981,0.284013,0.252503,5.5e-05,11820.5,0.561824,0.000125,10611.83,0.552113,0.000126,153.0969,0.495914,0.000281,1.229183,81.0981,0.284013,0.252503,5.5e-05,9212.57757253034,0.541920166948202,0.000135324297685035,6998.43788674826,0.528664064538844,0.000163278907610857,2.87372531604102e-25,0.280575165035573,0.000808386331339168
"20",20,2.312065,64.52977,0.115049,0.10401,9.6e-05,20918.26,0.579708,9.5e-05,20513.08,0.573724,9.9e-05,18448.01,0.553309,0.000139,2.312065,64.52977,0.115049,0.10401,9.6e-05,20017.2449730212,0.56747476605608,0.000106593762030645,19353.1217390403,0.560838132827708,0.000118248990200811,16847.0449491718,0.541517715788447,0.000183189984672247
"21",21,1.76669,137.04635,0.219478,0.028887,9.3e-05,15838.77,0.584395,6.7e-05,15178.97,0.57762,7.6e-05,4.936655,0.473157,0.000159,1.76669,137.04635,0.219478,0.028887,9.3e-05,14002.2492909691,0.568886050196331,9.53851448660186e-05,10107.4334250575,0.54845245302861,0.000151520631275843,3.1945329686993e-38,0.0669993483219629,0.000188183781459251
"22",22,0.811316,112.99014,0.259812,0.253616,2.8e-05,12174.27,0.565171,0.000154,9344.645,0.55299,0.00015,0,0.096928,0.000342,0.811316,112.99014,0.259812,0.253616,2.8e-05,4867.38057936071,0.539826435594983,0.000168990849870246,553.720845205417,0.521805396602112,0.000165747052285795,4.51303325928823e-46,0.0647318954208777,0.000244124672342321
"23",23,2.063115,107.90543,0.232725,0.259605,9.4e-05,15769.27,0.580875,7.5e-05,15106.51,0.573672,8.2e-05,5482.502,0.51755,0.00019,2.063115,107.90543,0.232725,0.259605,9.4e-05,14005.5107219994,0.565099349125335,9.61528389781159e-05,12026.8070326949,0.552130573757426,0.000126808474667277,4.199032587242e-20,0.260847428757176,0.000318583510927222
"24",24,1.339303,138.70532,0.250848,0.322601,4.9e-05,16276.82,0.578952,9.4e-05,14587.09,0.568766,0.000107,0,0.13399,0.000834,1.339303,138.70532,0.250848,0.322601,4.9e-05,11433.1883687551,0.555119727034106,0.000133793297894675,531.661388109821,0.523503541044778,0.000209749583631758,5.23951910295833e-45,0.0553455598534632,0.000173988091459698
"25",25,0.957452,131.77767,0.18417,0.099894,2.5e-05,27270.55,0.582179,0.000128,25609.44,0.574486,0.000143,78.04007,0.496313,0.000286,0.957452,131.77767,0.18417,0.099894,2.5e-05,23089.5455236764,0.565089424517162,0.000177315699238058,13250.1159188469,0.545321667760774,0.000265962830353182,5.25578070660762e-32,0.0576058801003725,0.000275962120932762
"26",26,2.203095,46.86312,0.131145,0.252085,1.5e-05,116260.1,0.594275,0.000258,116068.7,0.59194,0.00026,115211.8,0.585347,0.000275,2.203095,46.86312,0.131145,0.252085,1.5e-05,118425.151721627,0.589881169872684,0.000265607860549396,118136.78807598,0.587698641055511,0.000270179758300315,117582.292670588,0.584067192179573,0.000288682653062172
