Day,Date,ID,Condition,Replicate,Count1,Count2,Count3,Mean,S.E.
3,20240223,Cont-2,Control,2,70400,0,194000,88133.33333,56700.5389
3,20240223,Cont-3,Control,3,176000,0,0,58666.66667,58666.66667
3,20240223,Lin-1,Linear,1,123000,135000,129000,129000,3464.101615
3,20240223,Lin-2,Linear,2,323000,64500,194000,193833.3333,74622.56882
3,20240223,Lin-3,Linear,3,369000,158000,235000,254000,61646.84366
3,20240223,Lin-4,Linear,4,106000,317000,147000,190000,64593.60133
3,20240223,Lin-5,Linear,5,135000,26400,158000,106466.6667,40580.18126
3,20240223,Lin-6,Linear,6,258000,176000,252000,228666.6667,26390.23388
3,20240223,Lin-7,Linear,7,252000,170000,158000,193333.3333,29537.17056
3,20240223,SD025-1,SD025,1,194000,152000,164000,170000,12489.996
3,20240223,SD025-2,SD025,2,305000,510000,123000,312666.6667,111783.024
3,20240223,SD025-3,SD025,3,276000,352000,229000,285666.6667,35834.49611
3,20240223,SD025-4,SD025,4,123000,99400,199000,140466.6667,30049.14493
3,20240223,SD025-5,SD025,5,199000,528000,129000,285333.3333,123004.5166
3,20240223,Sd025-6,SD025,6,211000,158000,510000,293000,109573.4153
3,20240223,SD025-7,SD025,7,106000,293000,311000,236666.6667,65539.64025
3,20240223,SD100-1,SD100,1,586000,545000,182000,437666.6667,128380.0781
3,20240223,SD100-2,SD100,2,147000,147000,334000,209333.3333,62333.33333
3,20240223,SD100-3,SD100,3,223000,158000,194000,191666.6667,18800.1182
3,20240223,SD100-4,SD100,4,270000,487000,358000,371666.6667,63014.10777
3,20240223,SD100-5,SD100,5,230000,182000,223000,211666.6667,14970.34105
3,20240223,SD100-6,SD100,6,170000,147000,93800,136933.3333,22565.55881
3,20240223,SD100-7,SD100,7,270000,147000,328000,248333.3333,53361.45092
5,20240225,Cont-1,Control,1,0,0,0,0,0
5,20240225,Cont-2,Control,2,23500,23500,176000,74333.33333,50833.33333
5,20240225,Cont-3,Control,3,76200,0,0,25400,25400
5,20240225,Lin-1,Linear,1,135000,129000,205000,156333.3333,24394.89928
5,20240225,Lin-2,Linear,2,387000,252000,657000,432000,119058.809
5,20240225,Lin-3,Linear,3,141000,270000,170000,193666.6667,39074.00386
5,20240225,Lin-4,Linear,4,340000,147000,76200,187733.3333,78828.95689
5,20240225,Lin-5,Linear,5,158000,152000,152000,154000,2000
5,20240225,Lin-6,Linear,6,137000,112000,229000,159333.3333,35573.08596
5,20240225,Lin-7,Linear,7,105000,352000,99700,185566.6667,83230.73017
5,20240225,SD025-1,SD025,1,88400,76200,645000,269866.6667,187599.7276
5,20240225,SD025-2,SD025,2,182000,235000,141000,186000,27209.06712
5,20240225,SD025-3,SD025,3,293000,170000,217000,226666.6667,35834.49611
5,20240225,SD025-4,SD025,4,158000,152000,141000,150333.3333,4977.728174
5,20240225,SD025-5,SD025,5,211000,164000,217000,197333.3333,16756.42497
5,20240225,Sd025-6,SD025,6,352000,164000,76200,197400,81349.2061
5,20240225,SD025-7,SD025,7,106000,293000,152000,183666.6667,56256.35767
5,20240225,SD100-1,SD100,1,240000,205000,99700,181566.6667,42161.84426
5,20240225,SD100-2,SD100,2,76200,246000,270000,197400,60994.75387
5,20240225,SD100-3,SD100,3,305000,229000,276000,270000,22143.47157
5,20240225,SD100-4,SD100,4,135000,111000,111000,119000,8000
5,20240225,SD100-5,SD100,5,111000,199000,240000,183333.3333,38054.05512
5,20240225,SD100-6,SD100,6,258000,240000,264000,254000,7211.102551
5,20240225,SD100-7,SD100,7,158000,240000,152000,183333.3333,28386.22514
6,20240226,Cont-1,Control,1,29300,0,11700,13666.66667,8515.149898
6,20240226,Cont-2,Control,2,0,141000,70400,70466.66667,40703.20763
6,20240226,Cont-3,Control,3,0,0,82100,27366.66667,27366.66667
6,20240226,Lin-1,Linear,1,282000,252000,164000,232666.6667,35408.7246
6,20240226,Lin-2,Linear,2,264000,235000,82100,193700,56424.49232
6,20240226,Lin-3,Linear,3,111000,141000,188000,146666.6667,22407.83593
6,20240226,Lin-4,Linear,4,141000,276000,70400,162466.6667,60314.32481
6,20240226,Lin-5,Linear,5,147000,99700,158000,134900,17884.16432
6,20240226,Lin-6,Linear,6,639000,229000,481000,449666.6667,119389.1862
6,20240226,Lin-7,Linear,7,123000,299000,147000,189666.6667,55103.94219
6,20240226,SD025-1,SD025,1,58600,616000,686000,453533.3333,198497.9037
6,20240226,SD025-2,SD025,2,99700,387000,305000,263900,85444.38737
6,20240226,SD025-3,SD025,3,64500,264000,475000,267833.3333,118516.6421
6,20240226,SD025-4,SD025,4,88400,686000,70400,281600,202266.7546
6,20240226,SD025-5,SD025,5,82100,569000,334000,328366.6667,140584.1425
6,20240226,Sd025-6,SD025,6,229000,364000,88000,227000,79680.61245
6,20240226,SD025-7,SD025,7,111000,229000,551000,297000,131488.9095
6,20240226,SD100-1,SD100,1,287000,481000,452000,406666.6667,60416.14942
6,20240226,SD100-2,SD100,2,117000,150000,340000,202333.3333,69489.40767
6,20240226,SD100-3,SD100,3,93800,246000,80900,140233.3333,53014.28529
6,20240226,SD100-4,SD100,4,399000,340000,299000,346000,29022.9794
6,20240226,SD100-5,SD100,5,93800,194000,293000,193600,57504.43461
6,20240226,SD100-6,SD100,6,299000,317000,270000,295333.3333,13691.03519
6,20240226,SD100-7,SD100,7,240000,282000,381000,301000,41797.12909
7,20240227,Cont-1,Control,1,0,0,70400,23466.66667,23466.66667
7,20240227,Cont-2,Control,2,17600,0,0,5866.666667,5866.666667
7,20240227,Cont-3,Control,3,0,11700,0,3900,3900
7,20240227,Lin-1,Linear,1,188000,123000,93800,134933.3333,27840.09898
7,20240227,Lin-2,Linear,2,317000,41100,46900,135000,91015.40163
7,20240227,Lin-3,Linear,3,293000,176000,182000,217000,38039.4532
7,20240227,Lin-4,Linear,4,52800,346000,457000,285266.6667,120569.224
7,20240227,Lin-5,Linear,5,64500,58600,64500,62533.33333,1966.666667
7,20240227,Lin-6,Linear,6,76200,0,188000,88066.66667,54594.3017
7,20240227,Lin-7,Linear,7,46900,188000,93800,109566.6667,41487.92328
7,20240227,SD025-1,SD025,1,29300,35200,35200,33233.33333,1966.666667
7,20240227,SD025-2,SD025,2,106000,194000,264000,188000,45709.22591
7,20240227,SD025-3,SD025,3,58600,217000,76200,117266.6667,50124.82197
7,20240227,SD025-4,SD025,4,106000,176000,158000,146666.6667,20986.76832
7,20240227,SD025-5,SD025,5,176000,211000,88000,158333.3333,36589.31234
7,20240227,Sd025-6,SD025,6,117000,411000,375000,301000,92585.09599
7,20240227,SD025-7,SD025,7,88000,135000,205000,142666.6667,33991.82908
7,20240227,SD100-1,SD100,1,41100,176000,152000,123033.3333,41548.37876
7,20240227,SD100-2,SD100,2,229000,258000,317000,268000,25890.79631
7,20240227,SD100-3,SD100,3,205000,293000,282000,260000,27682.72626
7,20240227,SD100-4,SD100,4,123000,188000,88000,133000,29297.32639
7,20240227,SD100-5,SD100,5,164000,158000,235000,185666.6667,24727.4027
7,20240227,SD100-6,SD100,6,299000,258000,246000,267666.6667,16045.0754
7,20240227,SD100-7,SD100,7,317000,311000,317000,315000,2000
8,20240228,Cont-1,Control,1,117000,0,41100,52700,34269.37408
8,20240228,Cont-2,Control,2,0,0,188000,62666.66667,62666.66667
8,20240228,Cont-3,Control,3,11700,158000,0,56566.66667,50829.00528
