"","alpha_0","beta","gamma","w","a","N_Lin.N","Mean_Lin.Z_mean","Var_Lin.Z_var","N_SD025.N","Mean_SD025.Z_mean","Var_SD025.Z_var","N_SD050.N","Mean_SD050.Z_mean","Var_SD050.Z_var","N_SD075.N","Mean_SD075.Z_mean","Var_SD075.Z_var","N_SD100.N","Mean_SD100.Z_mean","Var_SD100.Z_var","N_SD125.N","Mean_SD125.Z_mean","Var_SD125.Z_var"
"1",1.915259,68.75247,0.184562,0.367691,6.1e-05,22719.3742289786,0.598381547186141,0.000328390000577313,22714.0994975014,0.597620134882361,0.000328906867031856,22707.5272515207,0.596893884315875,0.000329758281805499,22701.436451911,0.596273439588973,0.000331140801975896,22699.0183457116,0.595843179042586,0.000333541332743505,22704.3523599738,0.595588603993838,0.000338710032369706
"2",1.444384,49.76787,0.275822,0.339753,9.3e-05,9799.13934350166,0.588822617378876,0.000296016770202627,9728.45828084651,0.584858389814362,0.000300950813264744,9632.02335230139,0.58069125996648,0.000308972428964119,9508.42350496927,0.576361086911254,0.000321903442477872,9358.82864692563,0.571949307905309,0.000343146156638458,9185.81389153417,0.567531121039836,0.000379621778246923
"3",0.75234,49.42674,0.196671,0.303403,3.5e-05,12419.5189017032,0.583515258910855,0.000467160006164538,12220.3478911807,0.578453562709772,0.000476845046702267,11946.0906395326,0.572974364676456,0.000492729749578125,11582.8056284057,0.567101659311577,0.000518214245947102,11115.8870452105,0.560924253512136,0.000559536370891455,10501.7584681046,0.554492290887061,0.000629737347554861
"4",1.993401,46.02182,0.271007,0.054579,2.4e-05,71436.8215493306,0.599819374327306,0.000634285677709089,71436.6869169737,0.59972887983989,0.000634298706445881,71436.5080268797,0.599639331323813,0.000634318487923549,71436.3100681483,0.599554590832018,0.000634346617395221,71436.1479652226,0.599481442905312,0.000634385604717599,71436.1135497797,0.599428079834935,0.000634441180800847
"5",0.988344,36.97988,0.214865,0.290643,7.7e-05,7881.1417656041,0.575684468864031,0.00038219477029453,7744.88348961103,0.569868752926997,0.000389412811616598,7568.2840100088,0.563628876685496,0.000400860917702343,7346.8144318786,0.556999931911755,0.000417920456629732,7076.40184578813,0.550020619630523,0.000443173454203821,6746.32369140442,0.542602408324721,0.00048180728807315
"6",0.50261,106.31488,0.303857,0.155982,9.4e-05,1.73409778503586e-15,0.549333865999744,0.000738717446381256,1.46726959777968e-54,0.107899044907705,0.000253231845135827,5.00314036333285e-55,0.0875009473816982,0.000161667379983314,3.09249244817305e-56,0.069522332244918,0.000112598156873852,2.20755710991045e-58,0.0506190087316712,0.000100089454919469,7.36271446685809e-60,0.0334813540371515,9.3032332336684e-05
"7",2.16603,115.85617,0.124771,0.306935,2.9e-05,60567.0238270973,0.599982361547729,0.00038089179816476,60567.0229476291,0.599974066459659,0.000380892112036111,60567.0234541885,0.599967820712447,0.000380892586308583,60567.0286688117,0.599965573544064,0.000380893354869825,60567.049970995,0.599965400376668,0.000380895806942749,60567.2841148706,0.599950747309294,0.000380924017317518
"8",0.844646,69.07725,0.163274,0.108541,1e-06,773524.682320645,0.599999975445245,0.00265986033234049,773524.682305763,0.599999962830667,0.00265986033222845,773524.682288267,0.599999950840307,0.00265986033209698,773524.682275578,0.599999941607622,0.00265986033200213,773524.682273165,0.599999938037015,0.00265986033198458,773524.682244939,0.599999940576388,0.00265986033176844
"9",1.050201,56.52418,0.301628,0.024908,5.8e-05,12892.8699842064,0.591518784286425,0.000337358836384152,12817.7519861489,0.588206527928626,0.000341719696358071,12712.7159842732,0.584705810165398,0.000349084962473235,12576.6129027854,0.581064392091105,0.00036153246924223,12413.9685656212,0.577399768221295,0.000383129998781112,12237.6561473335,0.573893887162757,0.000422435913744394
"10",0.862844,34.78289,0.39029,0.326187,3.5e-05,8820.61363495455,0.573042509907966,0.000446863825159621,8526.55057776491,0.567153491484878,0.000450416991614507,8108.11515384881,0.560253475245545,0.000456177666315694,7526.09858443041,0.552368514963208,0.00046484406381153,6719.2376638527,0.543635991603073,0.000477423954095402,5395.18160474787,0.533654377369733,0.000495008236852978
"11",1.361924,148.08049,0.370284,0.076754,6.6e-05,14660.6770859116,0.598766639510572,0.000195388414125487,14655.1785216577,0.598157719500943,0.000195842726219047,14650.8882397363,0.597660438980413,0.000196881876052186,14655.944902199,0.59736818269403,0.000199973160198637,14443.2256481355,0.595852887907998,0.000211662795722452,0.000124367472910832,0.44329709822139,9.70888040274846e-05
"12",0.884571,78.05021,0.364488,0.108969,5.4e-05,8707.0475194598,0.58810744876057,0.000268348918816796,8520.18081294208,0.583500192612969,0.000274067791101727,8221.85649789063,0.578077559577166,0.000285159563608896,7759.02032670574,0.571818938234126,0.00030671872366859,6623.22020584851,0.56527190803786,0.000348422049758197,195.664366745164,0.556467980034102,0.000491415612367751
"13",1.70777,119.33547,0.22813,0.229739,4e-05,32843.2172916527,0.599771205983884,0.000304137124344143,32842.9961741124,0.599661105895297,0.000304165278269749,32842.8589358953,0.59957382279515,0.000304214091851123,32843.1570246363,0.599534078715667,0.000304310190519078,32844.8895466241,0.599506159240056,0.000304667923300575,32868.8546308279,0.599132535123087,0.000309764490604834
"14",1.015611,99.38607,0.388684,0.355359,6.2e-05,7023.63525616031,0.588265110849721,0.000216073336846702,6801.38693722251,0.583379576660682,0.00022190141833887,6417.81878517966,0.577405046410894,0.000234489046532056,5468.81059932086,0.570928293085815,0.000260211487780154,81.5465572310724,0.563936624513509,0.000379517114585237,0.0144064569576018,0.497951597542301,0.000351090835879707
"15",1.325068,85.18088,0.139481,0.050965,3.5e-05,33964.2571132139,0.599317167276505,0.000394000052727595,33962.6575758959,0.598988835428875,0.000394178342725921,33960.9571551516,0.598692707969004,0.000394473858413776,33960.2985735463,0.598479891495697,0.000394961585290057,33962.5837877896,0.598387579231991,0.000395910872591083,33972.4464557352,0.598317183368712,0.000398876522623051
"16",1.747437,123.92007,0.295639,0.051273,6.5e-05,22264.2173615672,0.599594609949309,0.000230293255646228,22263.6503360757,0.599398674546153,0.000230356200560684,22263.1995596162,0.599239566292062,0.000230471677815245,22263.5875837532,0.599154975900165,0.000230724570055164,22266.9832306398,0.599053035803421,0.000231838002421005,22333.6787840555,0.597840966199592,0.00025389249573747
"17",1.445631,125.75195,0.203961,0.282424,4.3e-05,24645.416078858,0.599339304918401,0.000283509526803811,24643.7938049087,0.59902692804502,0.000283698228083992,24642.7749401603,0.598784734907825,0.000284051379140781,24644.8497769861,0.59868044156165,0.000284836564005344,24657.9390640761,0.598552688361658,0.000288314565209372,23939.1812337409,0.596445596992714,0.000364186654095582
"18",2.429814,67.60141,0.116249,0.348825,3.6e-05,53172.9137576448,0.599869519018883,0.000446703979488459,53172.8519040453,0.599805505809273,0.000446712129907886,53172.7803012396,0.599745865548997,0.000446724499529859,53172.7298828094,0.599697454033364,0.000446742106426572,53172.7547604349,0.599668528758838,0.000446768126835972,53172.9356004518,0.599659305307789,0.00044681782224381
"19",1.229183,81.0981,0.284013,0.252503,5.5e-05,14459.5876411696,0.5954178120308,0.000292908167586103,14420.4405203509,0.593375455273939,0.000295557999412671,14368.1762996465,0.591306674087956,0.000300492427916213,14312.2701226135,0.589377676982848,0.000309997045696755,14273.2709653945,0.587773065097937,0.000330181752307078,14262.6414001337,0.585999896640773,0.000384671087320165
"20",2.312065,64.52977,0.115049,0.10401,9.6e-05,21834.5308312331,0.598979031156709,0.000279235911030772,21832.7947755527,0.598494000854447,0.000279429499246222,21830.6285156904,0.59803577577965,0.00027973555101864,21828.5578563868,0.597645392961132,0.000280204244082978,21827.479124795,0.597372537567516,0.000280958519165858,21828.4307511038,0.597221411955233,0.00028243045940811
"21",1.76669,137.04635,0.219478,0.028887,9.3e-05,16790.0383990909,0.599417177333167,0.000187909634690692,16789.1671542243,0.599147898065466,0.000188025751775129,16788.6238562759,0.59894930895672,0.000188246587230417,16789.6219122652,0.598855974670288,0.000188815165557325,16798.8327281198,0.59859141988338,0.00019274290135167,0.805384187458252,0.562745881448798,0.00238263960748939
"22",0.811316,112.99014,0.259812,0.253616,2.8e-05,16446.656150665,0.595585976897901,0.000326125024639748,16366.1539118951,0.593494445571965,0.00032955875921686,16262.6889707488,0.591407941369912,0.00033717890087953,16185.1707998063,0.589792210342976,0.000354234312713083,14468.2924493968,0.588396625907273,0.000388168037546233,1.09436484321871,0.567520245996103,0.00158355933658665
"23",2.063115,107.90543,0.232725,0.259605,9.4e-05,16729.3865518606,0.59905498544558,0.000209706077449713,16727.3795064733,0.59860906246882,0.00020993159681955,16725.3795584263,0.598228095022793,0.000210336100794115,16724.9787276699,0.597987190414362,0.000211138294754749,16728.8668619889,0.597825461418471,0.000213599102982268,16764.7315219088,0.596929350316107,0.00023460659777501
"24",1.339303,138.70532,0.250848,0.322601,4.9e-05,18159.0667844632,0.598748017732481,0.000243920671732256,18153.5205180842,0.598156892975223,0.000244471983821128,18149.9983532701,0.597702078953352,0.000245632088179786,18157.3365121094,0.59749427684224,0.000248731370733817,18209.1966102834,0.596784375548928,0.000267308487833434,1.26197075389052e-11,0.431366704776442,0.000185404607915343
