"","alpha_0","beta","gamma","w","a","N_Lin.N","Mean_Lin.Z_mean","Var_Lin.Z_var","N_SD025.N","Mean_SD025.Z_mean","Var_SD025.Z_var","N_SD050.N","Mean_SD050.Z_mean","Var_SD050.Z_var","N_SD075.N","Mean_SD075.Z_mean","Var_SD075.Z_var","N_SD100.N","Mean_SD100.Z_mean","Var_SD100.Z_var","N_SD125.N","Mean_SD125.Z_mean","Var_SD125.Z_var"
"1",1.915259,68.75247,0.184562,0.367691,6.1e-05,17929.5315832675,0.548804008498038,0.000180777999205149,16491.6062177293,0.540194123650479,0.000169472330167619,14869.0152092327,0.53122026543568,0.000173452800241864,13102.6023717133,0.522023564082264,0.000187652340426338,10535.0218165398,0.510349361460499,0.000273161378540131,9.656847936182e-06,0.280509010698342,0.00229148400287413
"2",1.444384,49.76787,0.275822,0.339753,9.3e-05,8358.21261302356,0.552332238473421,0.000173814569528294,2.02280989471758e-12,0.206689413837039,0.000834954417948566,6.04380169520802e-14,0.160001575105916,0.000379541151926721,6.20288705317166e-15,0.135799377701084,0.000278987464599799,3.1399107017632e-15,0.118099541169897,0.000235649578928127,4.58872814833024e-15,0.102930759093134,0.00021273543602099
"3",0.75234,49.42674,0.196671,0.303403,3.5e-05,1.32017620833976e-12,0.0824274458164023,0.000262175834560208,6.93685805207811e-13,0.0822461911249458,0.000252731969768212,4.13857548050597e-13,0.0779578521067668,0.000235848074300527,3.33134908286546e-13,0.0713484053831529,0.000219573929973019,3.73553932681764e-13,0.0637174803840656,0.00020670987709883,5.85730860220208e-13,0.0560205851098455,0.000196675759555437
"4",1.993401,46.02182,0.271007,0.054579,2.4e-05,65246.5672284049,0.565314716782982,0.000226642324917383,63260.4867008442,0.55832607545853,0.000231528117235827,60825.9055251919,0.550926006823678,0.000241239556872272,57841.5734314802,0.542944934901402,0.000257628613532555,53884.7317915712,0.533552783879097,0.000286224922879009,48059.467839611,0.521308963714698,0.000339238711850396
"5",0.988344,36.97988,0.214865,0.290643,7.7e-05,9.73216268825018e-12,0.0941873454338206,0.000226718800586975,9.83906598942664e-12,0.0943260807445858,0.000220784999286249,7.82010543726017e-12,0.091219370031774,0.00021036595028817,7.70073831120421e-12,0.0859549336723941,0.000198764515173819,1.20009757716737e-11,0.0794754889723633,0.000188054238394089,3.07799303761635e-11,0.0724547989774094,0.000178827322638291
"6",0.50261,106.31488,0.303857,0.155982,9.4e-05,5.39981526205371e-30,0.0381699385495009,0.000117739936001083,8.72695124648403e-29,0.0466184473281066,0.000124111563771333,6.30658278189863e-28,0.0489997089777025,0.000120463509796266,8.14781532606878e-28,0.0442074338365525,0.000111358668058943,5.09935888259694e-28,0.0356403001430586,0.000101813950229488,2.79323932940465e-28,0.027025131705321,9.61219354930035e-05
"7",2.16603,115.85617,0.124771,0.306935,2.9e-05,55931.104979864,0.580870142410783,0.000138369686412301,53392.8121343795,0.573419518693907,0.000153371055406757,49509.9567513561,0.564805091572219,0.000183631932169732,41070.344888724,0.550768756252265,0.000254299887879304,6858.005427735,0.495838879270398,0.000367569542655993,5911.59270081396,0.498961466587118,0.00050749633015459
"8",0.844646,69.07725,0.163274,0.108541,1e-06,667629.881637494,0.593265739488228,0.000791841114739068,664461.378977758,0.590544010546755,0.000801469048203525,660427.494765897,0.587840552679195,0.000818339298624309,656294.144689853,0.585386989914526,0.000847900876164066,653489.881306631,0.583521048429033,0.000901163388205389,651183.376823957,0.582355082236785,0.00100620034275293
"9",1.050201,56.52418,0.301628,0.024908,5.8e-05,1.65706681008066e-19,0.128726617905762,0.000375797810082453,3.13868153289959e-20,0.122066935535657,0.000319127409749112,6.35652833555143e-21,0.10968035404253,0.000260235116316276,2.59563901139534e-21,0.0972034171949988,0.000224340583114428,1.86575629712293e-21,0.0851130502551703,0.000204630401881505,1.97705144294454e-21,0.0734583544600002,0.000192900264925548
"10",0.862844,34.78289,0.39029,0.326187,3.5e-05,2.95776959835434e-27,0.0826539415733819,0.000208014570984031,1.43414768356322e-27,0.083529344277686,0.000210268781507845,7.70540610827295e-28,0.0812002116637872,0.000206038170474909,5.60409694313415e-28,0.076461280441979,0.000197298564247042,6.12250799709815e-28,0.0703655066527758,0.000186619877147702,1.05178032382149e-27,0.0637738548670536,0.000175443036414468
