Date,Time,plate-ID,Control,NaCl(M),OD680,OD750,delta_OD680,delta_OD750,Shkae,Photo after 7 days
20231103,3,1031-1,Y,0.3,0.037,0.04,0,0,Y,
20231103,3,1031-1,Y,0.4,0.035,0.034,0,0,Y,
20231103,3,1031-1,Y,0.6,0.034,0.034,0,0,Y,
20231103,3,1031-1,N,0.3,0.038,0.04,0.001,0,Y,
20231103,3,1031-1,N,0.4,0.035,0.037,0,0.003,Y,
20231103,3,1031-1,N,0.6,0.035,0.034,0.001,0,Y,
20231103,3,1031-2,Y,0,0.031,0.036,0,0,Y,
20231103,3,1031-2,Y,0.06,0.033,0.035,0,0,Y,
20231103,3,1031-2,Y,0.2,0.034,0.037,0,0,Y,
20231103,3,1031-2,N,0,0.048,0.041,0.017,0.005,Y,
20231103,3,1031-2,N,0.06,0.048,0.048,0.015,0.013,Y,
20231103,3,1031-2,N,0.2,0.05,0.05,0.016,0.013,Y,
20231103,3,1031-2,Y,0.3,0.04,0.043,0,0,Y,
20231103,3,1031-2,Y,0.4,0.034,0.038,0,0,Y,
20231103,3,1031-2,Y,0.6,0.034,0.036,0,0,Y,
20231103,3,1031-2,N,0.3,0.04,0.041,0,-0.002,Y,
20231103,3,1031-2,N,0.4,0.037,0.038,0.003,0,Y,
20231103,3,1031-2,N,0.6,0.034,0.039,0,0.003,Y,
20231103,3,1031-3,Y,0,0.034,0.039,0,0,Y,
20231103,3,1031-3,Y,0.06,0.036,0.038,0,0,Y,
20231103,3,1031-3,Y,0.2,0.036,0.038,0,0,Y,
20231103,3,1031-3,N,0,0.048,0.044,0.014,0.005,Y,
20231103,3,1031-3,N,0.06,0.045,0.042,0.009,0.004,Y,
20231103,3,1031-3,N,0.2,0.042,0.038,0.006,0,Y,
20231103,3,1031-3,Y,0.3,0.036,0.039,0,0,Y,
20231103,3,1031-3,Y,0.4,0.037,0.036,0,0,Y,
20231103,3,1031-3,Y,0.6,0.035,0.034,0,0,Y,
20231103,3,1031-3,N,0.3,0.036,0.04,0,0.001,Y,
20231103,3,1031-3,N,0.4,0.038,0.035,0.001,-0.001,Y,
20231103,3,1031-3,N,0.6,0.038,0.037,0.003,0.003,Y,
20231106,6,1031-1,Y,0,0.04,0.043,0,0,Y,s
20231106,6,1031-1,Y,0.06,0.037,0.036,0,0,Y,
20231106,6,1031-1,Y,0.2,0.036,0.036,0,0,Y,
20231106,6,1031-1,N,0,0.147,0.09,0.107,0.047,Y,
20231106,6,1031-1,N,0.06,0.104,0.069,0.067,0.033,Y,
20231106,6,1031-1,N,0.2,0.116,0.076,0.08,0.04,Y,
20231106,6,1031-1,Y,0.3,0.037,0.041,0,0,Y,
20231106,6,1031-1,Y,0.4,0.036,0.037,0,0,Y,
20231106,6,1031-1,Y,0.6,0.036,0.035,0,0,Y,
20231106,6,1031-1,N,0.3,0.079,0.065,0.042,0.024,Y,
20231106,6,1031-1,N,0.4,0.052,0.047,0.016,0.01,Y,
20231106,6,1031-1,N,0.6,0.037,0.036,0.001,0.001,Y,
20231106,6,1031-2,Y,0,0.034,0.034,0,0,Y,
20231106,6,1031-2,Y,0.06,0.034,0.034,0,0,Y,
20231106,6,1031-2,Y,0.2,0.035,0.037,0,0,Y,
20231106,6,1031-2,N,0,0.176,0.104,0.142,0.07,Y,
20231106,6,1031-2,N,0.06,0.097,0.064,0.063,0.03,Y,
20231106,6,1031-2,N,0.2,0.11,0.071,0.075,0.034,Y,
20231106,6,1031-2,Y,0.3,0.038,0.041,0,0,Y,
20231106,6,1031-2,Y,0.4,0.037,0.037,0,0,Y,
20231106,6,1031-2,Y,0.6,0.035,0.036,0,0,Y,
20231106,6,1031-2,N,0.3,0.067,0.053,0.029,0.012,Y,
20231106,6,1031-2,N,0.4,0.053,0.046,0.016,0.009,Y,
20231106,6,1031-2,N,0.6,0.04,0.038,0.005,0.002,Y,
20231106,6,1031-3,Y,0,0.034,0.039,0,0,Y,
20231106,6,1031-3,Y,0.06,0.036,0.037,0,0,Y,
20231106,6,1031-3,Y,0.2,0.036,0.038,0,0,Y,
20231106,6,1031-3,N,0,0.177,0.11,0.143,0.071,Y,
